iter	Logloss
0	0.6891734783
1	0.6822677025
2	0.677016136
3	0.6718369019
4	0.6662505223
5	0.6614333911
6	0.6567569635
7	0.6514709179
8	0.6460603078
9	0.6404452691
10	0.6345891219
11	0.6287391858
12	0.6243278308
13	0.6194513272
14	0.6141960437
15	0.6095508673
16	0.6054183275
17	0.6010439946
18	0.5968963916
19	0.592453492
20	0.5886332194
21	0.5850381607
22	0.5810082264
23	0.5769614684
24	0.5723190308
25	0.5682206276
26	0.5643688593
27	0.561357596
28	0.5572730822
29	0.5529009501
30	0.5486331353
31	0.5453175276
32	0.5415295332
33	0.5376023513
34	0.5341334221
35	0.5301524431
36	0.5275170742
37	0.5240647732
38	0.5200809088
39	0.515703886
40	0.5119630863
41	0.5071853246
42	0.503955352
43	0.500171857
44	0.4971637237
45	0.4937832172
46	0.4907413385
47	0.4871316567
48	0.4838831486
49	0.4799454518
50	0.4765154521
51	0.4725850423
52	0.4696522248
53	0.4664405432
54	0.4633251092
55	0.4598980439
56	0.4569578904
57	0.4544128027
58	0.4514061854
59	0.4474299504
60	0.4448471069
61	0.4416648669
62	0.4389662131
63	0.4364880293
64	0.4340460362
65	0.4313892462
66	0.427949074
67	0.4248715425
68	0.4218199314
69	0.4183891492
70	0.4155525794
71	0.4127256931
72	0.4100611026
73	0.4074344635
74	0.4054676203
75	0.4025483498
76	0.4003317906
77	0.3978869609
78	0.3947837047
79	0.3922583262
80	0.3901846959
81	0.3876737203
82	0.3862290505
83	0.3843486982
84	0.3819567852
85	0.3799473445
86	0.3773122201
87	0.3749693846
88	0.3726233947
89	0.3702840805
90	0.3678843669
91	0.3654687099
92	0.3633294228
93	0.3614319043
94	0.3591831158
95	0.3566658069
96	0.3545951354
97	0.3527269852
98	0.3507724175
99	0.3489609498
100	0.3471839122
101	0.3450848506
102	0.3434054546
103	0.3413601411
104	0.3393568381
105	0.3375190344
106	0.3360867623
107	0.3340850732
108	0.3319892883
109	0.3304558289
110	0.3285853557
111	0.3264955374
112	0.325152715
113	0.3236865508
114	0.3217271169
115	0.3198207464
116	0.3182724684
117	0.3167547568
118	0.3148564803
119	0.3133423879
120	0.3118594243
121	0.3105591994
122	0.3087731386
123	0.3067878332
124	0.3049025413
125	0.3032619036
126	0.3017477378
127	0.3000996908
128	0.2985995855
129	0.2971470173
130	0.2956579649
131	0.2943229675
132	0.2929109916
133	0.2911555461
134	0.2897280669
135	0.2883826036
136	0.2867477857
137	0.285469422
138	0.28369884
139	0.2824498935
140	0.2807712799
141	0.2792878762
142	0.2779156856
143	0.2764729231
144	0.2751343556
145	0.2735475883
146	0.2725176689
147	0.2710924393
148	0.2698424413
149	0.268087974
150	0.2670168754
151	0.2658945475
152	0.2643856391
153	0.2630393688
154	0.2613319984
155	0.260052143
156	0.2589657123
157	0.257858741
158	0.2566515605
159	0.2552971962
160	0.253973105
161	0.2524474951
162	0.2508473519
163	0.2497532918
164	0.2484025955
165	0.2474687527
166	0.2462465335
167	0.2453382932
168	0.2438774353
169	0.2426795959
170	0.2416517796
171	0.2406025422
172	0.2395305144
173	0.2383876214
174	0.237435023
175	0.2362680191
176	0.2350544074
177	0.2337736961
178	0.2329675234
179	0.2320411633
180	0.2307985501
181	0.2298878401
182	0.2292079681
183	0.2282691858
184	0.2268989759
185	0.226105959
186	0.2247275083
187	0.2235407707
188	0.2226143861
189	0.2218853877
190	0.2210278633
191	0.2199128469
192	0.2190142411
193	0.2176192602
194	0.2167915442
195	0.2158462818
196	0.2149551343
197	0.2139353141
198	0.2131133935
199	0.2120293837
200	0.2112220128
201	0.2106126149
202	0.2097158187
203	0.2086396829
204	0.2077034681
205	0.2066362332
206	0.2054859308
207	0.2045032306
208	0.2034827501
209	0.202443991
210	0.2017214359
211	0.2009905424
212	0.2000456834
213	0.199042736
214	0.1984515679
215	0.1979426726
216	0.1968418024
217	0.1956784664
218	0.1949932881
219	0.1944272457
220	0.1932880573
221	0.1925570292
222	0.1914757949
223	0.1905511587
224	0.1899175888
225	0.1890373475
226	0.1882909506
227	0.1874868931
228	0.1865760852
229	0.1857238672
230	0.1848099537
231	0.1840844032
232	0.1833002628
233	0.1826578409
234	0.1820056866
235	0.1813971446
236	0.1806000441
237	0.1799212602
238	0.1794709181
239	0.1785603059
240	0.1778071232
241	0.177093677
242	0.1762512769
243	0.1754855865
244	0.1751319201
245	0.1742183245
246	0.1735705473
247	0.1728678483
248	0.1724330217
249	0.171798327
250	0.1710975843
251	0.1701449737
252	0.1694575823
253	0.1689794981
254	0.1684548305
255	0.1677449177
256	0.1673171459
257	0.166562007
258	0.1659042774
259	0.1654309004
260	0.1647123924
261	0.1640636982
262	0.1634386503
263	0.1627763968
264	0.1622770261
265	0.1615500328
266	0.1612364207
267	0.1608291284
268	0.1602279834
269	0.1596708053
270	0.1590375411
