iter	Passed	Remaining
0	2	2063
1	3	1964
2	6	2027
3	7	1976
4	10	2048
5	12	2028
6	13	1972
7	15	1907
8	17	1906
9	18	1868
10	20	1833
11	21	1809
12	23	1789
13	25	1771
14	27	1832
15	29	1838
16	31	1817
17	32	1798
18	34	1784
19	36	1787
20	37	1769
21	39	1763
22	41	1766
23	43	1751
24	44	1738
25	46	1730
26	47	1717
27	48	1689
28	50	1676
29	51	1667
30	53	1658
31	54	1649
32	56	1654
33	57	1647
34	59	1641
35	61	1640
36	62	1634
37	64	1626
38	65	1618
39	67	1616
40	68	1612
41	70	1607
42	71	1601
43	73	1605
44	75	1605
45	77	1600
46	78	1595
47	80	1590
48	81	1585
49	83	1582
50	84	1577
51	86	1573
52	87	1568
53	89	1573
54	91	1571
55	93	1571
56	94	1568
57	96	1564
58	97	1560
59	99	1556
60	101	1557
61	102	1557
62	104	1558
63	106	1554
64	108	1554
65	109	1553
66	111	1553
67	113	1553
68	114	1550
69	116	1548
70	118	1543
71	119	1539
72	120	1536
73	122	1532
74	124	1529
75	125	1525
76	126	1522
77	128	1518
78	129	1515
79	132	1523
80	134	1523
81	136	1523
82	137	1516
83	139	1516
84	140	1516
85	142	1516
86	144	1516
87	146	1513
88	147	1512
89	149	1509
90	151	1510
91	152	1508
92	154	1507
93	156	1508
94	158	1505
95	159	1502
96	161	1499
97	162	1497
98	164	1494
99	165	1491
100	167	1489
101	168	1486
102	170	1484
103	171	1481
104	173	1478
105	174	1475
106	176	1473
107	178	1470
108	179	1467
109	181	1465
110	182	1461
111	184	1459
112	185	1456
113	186	1453
114	189	1456
115	190	1454
116	192	1452
117	193	1449
118	195	1447
119	196	1444
120	198	1443
121	200	1441
122	201	1438
123	203	1440
124	205	1440
125	207	1441
126	209	1442
127	212	1447
128	214	1446
129	215	1445
130	217	1444
131	219	1445
132	221	1446
133	225	1456
134	228	1461
135	230	1461
136	232	1462
137	233	1461
138	235	1460
139	237	1459
140	239	1457
141	241	1458
142	243	1458
143	245	1457
144	247	1458
145	249	1457
146	251	1456
147	252	1456
148	254	1455
149	256	1454
150	258	1453
151	260	1452
152	262	1451
153	264	1450
154	266	1451
155	268	1450
156	269	1448
157	271	1445
158	272	1443
159	274	1441
160	276	1439
161	277	1436
162	279	1434
163	280	1431
164	282	1428
165	283	1426
166	285	1424
167	287	1421
168	288	1418
169	290	1415
170	291	1413
171	293	1410
172	294	1407
173	295	1404
174	297	1402
175	299	1402
176	301	1400
177	302	1397
178	304	1396
179	305	1393
180	307	1391
181	308	1388
182	310	1386
183	311	1383
184	313	1380
185	314	1378
186	316	1375
187	317	1372
188	319	1370
189	320	1368
190	322	1367
191	324	1365
192	325	1362
193	327	1360
194	328	1357
195	330	1355
196	331	1353
197	333	1350
198	334	1348
199	336	1346
200	337	1343
201	339	1340
202	340	1338
203	342	1336
204	344	1336
205	346	1334
206	347	1332
207	349	1329
208	350	1327
209	352	1325
210	353	1322
211	355	1320
212	356	1318
213	358	1315
214	359	1313
215	361	1311
216	362	1309
217	364	1307
218	366	1305
219	367	1303
220	369	1300
221	370	1298
222	373	1300
223	374	1298
224	376	1295
225	377	1293
226	379	1291
227	380	1289
228	382	1287
229	383	1285
230	385	1283
231	386	1280
232	388	1278
233	389	1276
234	391	1273
235	392	1271
236	394	1271
237	396	1268
238	397	1266
239	399	1266
240	401	1264
241	403	1263
242	404	1261
243	406	1259
244	408	1257
245	409	1255
246	411	1253
247	412	1251
248	414	1248
249	415	1246
250	417	1244
251	419	1246
252	421	1244
253	422	1242
254	424	1240
255	425	1237
256	427	1235
257	428	1233
258	430	1232
259	432	1229
260	433	1227
261	435	1225
262	436	1223
263	438	1221
264	439	1219
265	441	1218
266	442	1215
267	444	1214
268	446	1212
269	447	1209
270	448	1207
271	450	1206
272	452	1204
273	453	1202
274	455	1200
275	457	1199
276	458	1197
277	460	1195
278	461	1193
279	463	1191
280	464	1189
281	466	1187
282	467	1185
283	469	1183
284	470	1181
285	472	1179
286	474	1177
287	475	1176
288	477	1174
289	478	1172
290	480	1170
291	482	1168
292	483	1166
293	485	1164
294	486	1162
295	488	1160
296	490	1159
297	491	1157
298	492	1155
299	494	1154
300	496	1153
301	498	1151
302	499	1149
303	500	1147
304	502	1144
305	503	1142
306	505	1140
307	506	1139
308	508	1137
309	509	1135
310	511	1133
311	513	1131
312	514	1130
313	516	1127
314	517	1126
315	519	1124
316	520	1122
317	523	1121
318	524	1119
319	526	1117
320	527	1115
321	528	1113
322	530	1111
323	532	1110
324	533	1108
325	535	1106
326	537	1105
327	538	1103
328	540	1102
329	541	1100
330	543	1098
331	544	1096
332	546	1094
333	547	1092
334	549	1090
335	551	1090
336	553	1088
337	554	1086
338	556	1084
339	557	1082
340	559	1080
341	560	1078
342	562	1076
343	563	1074
344	565	1072
345	566	1070
346	568	1068
347	569	1066
348	571	1065
349	572	1064
350	574	1062
351	575	1060
352	577	1058
353	578	1056
354	580	1054
355	581	1052
356	583	1050
357	585	1049
358	586	1047
359	588	1045
360	590	1044
361	591	1042
362	593	1040
363	594	1039
364	596	1037
365	597	1035
366	599	1033
367	600	1031
368	602	1029
369	603	1027
370	605	1026
371	606	1024
372	608	1022
373	609	1020
374	611	1018
375	612	1017
376	614	1015
377	616	1013
378	617	1011
379	619	1009
380	620	1008
381	622	1006
382	623	1004
383	625	1002
384	626	1000
385	628	999
386	630	998
387	632	996
388	633	995
389	635	993
390	636	991
391	638	989
392	639	988
393	641	986
394	642	984
395	644	982
396	645	981
397	647	979
398	649	978
399	650	976
400	652	974
401	655	974
402	657	973
403	659	972
404	661	971
405	663	970
406	664	968
407	666	966
408	667	964
409	669	963
410	670	961
411	672	959
412	674	958
413	675	956
414	677	955
415	680	954
416	681	953
417	683	951
418	686	951
419	687	949
420	689	947
421	690	946
422	692	944
423	693	942
424	695	940
425	696	938
426	698	937
427	700	935
428	701	934
429	703	932
430	705	931
431	707	930
432	709	928
433	711	927
434	713	926
435	717	927
436	719	926
437	721	925
438	722	923
439	725	923
440	727	922
441	729	920
442	731	919
443	732	917
444	734	916
445	736	914
446	738	913
447	739	911
448	741	909
449	743	908
450	744	906
451	746	904
452	747	903
453	749	901
454	750	899
455	752	897
456	753	895
457	755	893
458	756	892
459	758	890
460	759	888
461	761	886
462	763	884
463	764	883
464	765	881
465	767	879
466	768	877
467	770	875
468	771	874
469	773	872
470	775	870
471	776	868
472	778	866
473	779	865
474	781	863
475	783	862
476	784	860
477	786	858
478	787	856
479	789	854
480	790	853
481	792	851
482	793	849
483	795	847
484	796	846
485	798	844
486	799	842
487	801	840
488	802	839
489	804	837
490	805	835
491	807	833
492	808	831
493	810	830
494	812	828
495	814	827
496	816	826
497	817	824
498	819	822
499	821	821
500	822	819
