Id,interaction,aa_A,aa_C,aa_D,aa_E,aa_F,aa_G,aa_H,aa_I,aa_K,aa_L,aa_M,aa_N,aa_P,aa_Q,aa_R,aa_S,aa_T,aa_V,aa_W,aa_Y,nt_A,nt_C,nt_G,nt_U
6TQB,1,0.08496732026143791,0.013071895424836602,0.0457516339869281,0.06535947712418301,0.032679738562091505,0.0392156862745098,0.032679738562091505,0.0392156862745098,0.05228758169934641,0.13725490196078433,0.026143790849673203,0.013071895424836602,0.032679738562091505,0.09803921568627451,0.0718954248366013,0.09803921568627451,0.0196078431372549,0.06535947712418301,0.013071895424836602,0.0196078431372549,0.3684210526315789,0.10526315789473684,0.10526315789473684,0.42105263157894735
RNCMPT00037_min,0,0.05533596837944664,0.007905138339920948,0.05533596837944664,0.05138339920948617,0.03162055335968379,0.07905138339920949,0.03162055335968379,0.04743083003952569,0.11462450592885376,0.09486166007905138,0.03162055335968379,0.039525691699604744,0.05138339920948617,0.04743083003952569,0.06324110671936758,0.06324110671936758,0.03162055335968379,0.06324110671936758,0.003952569169960474,0.03557312252964427,0.22857142857142856,0.11428571428571428,0.37142857142857144,0.2857142857142857
5Z9X,1,0.04513888888888889,0.017361111111111112,0.09375,0.0798611111111111,0.027777777777777776,0.03819444444444445,0.03125,0.034722222222222224,0.0798611111111111,0.1284722222222222,0.024305555555555556,0.03819444444444445,0.03819444444444445,0.03125,0.041666666666666664,0.06597222222222222,0.04861111111111111,0.1076388888888889,0.006944444444444444,0.020833333333333332,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.2222222222222222
3Q0R,1,0.05830903790087463,0.026239067055393587,0.043731778425655975,0.06705539358600583,0.037900874635568516,0.04664723032069971,0.04956268221574344,0.0728862973760933,0.0641399416909621,0.09620991253644315,0.026239067055393587,0.03206997084548105,0.029154518950437316,0.09329446064139942,0.05830903790087463,0.04664723032069971,0.03498542274052478,0.07871720116618076,0.0,0.037900874635568516,0.375,0.0,0.25,0.375
6YYM,1,0.05405405405405406,0.02027027027027027,0.06756756756756757,0.04054054054054054,0.06756756756756757,0.05405405405405406,0.013513513513513514,0.10135135135135136,0.060810810810810814,0.02702702702702703,0.02702702702702703,0.0945945945945946,0.05405405405405406,0.04054054054054054,0.060810810810810814,0.0472972972972973,0.05405405405405406,0.060810810810810814,0.006756756756756757,0.0472972972972973,0.0,0.16666666666666666,0.25,0.5833333333333334
2R7V,1,0.05684995340167754,0.004659832246039142,0.05405405405405406,0.05871388630009319,0.04100652376514446,0.034482758620689655,0.013979496738117428,0.08574091332712022,0.0754892823858341,0.09972041006523766,0.03075489282385834,0.06150978564771668,0.03168685927306617,0.036346691519105315,0.046598322460391424,0.08853681267474371,0.0521901211556384,0.06057781919850885,0.008387698042870456,0.05871388630009319,0.0,0.2,0.2,0.6
RNCMPT00013_min,0,0.06613756613756613,0.013227513227513227,0.04497354497354497,0.037037037037037035,0.05555555555555555,0.12433862433862433,0.013227513227513227,0.026455026455026454,0.047619047619047616,0.026455026455026454,0.023809523809523808,0.0291005291005291,0.16666666666666666,0.06084656084656084,0.042328042328042326,0.06349206349206349,0.04497354497354497,0.06349206349206349,0.015873015873015872,0.03439153439153439,0.2,0.16666666666666666,0.23333333333333334,0.4
5WZG,1,0.07303370786516854,0.033707865168539325,0.05056179775280899,0.08239700374531835,0.03745318352059925,0.04681647940074907,0.026217228464419477,0.06179775280898876,0.05805243445692884,0.13108614232209737,0.024344569288389514,0.033707865168539325,0.028089887640449437,0.03745318352059925,0.04868913857677903,0.09925093632958802,0.035580524344569285,0.054307116104868915,0.00749063670411985,0.0299625468164794,0.3,0.1,0.4,0.2
RNCMPT00018_min,0,0.03910614525139665,0.0,0.0670391061452514,0.03910614525139665,0.055865921787709494,0.27932960893854747,0.00558659217877095,0.0446927374301676,0.055865921787709494,0.01675977653631285,0.01675977653631285,0.055865921787709494,0.0446927374301676,0.027932960893854747,0.0893854748603352,0.061452513966480445,0.0446927374301676,0.027932960893854747,0.00558659217877095,0.0223463687150838,0.2894736842105263,0.13157894736842105,0.39473684210526316,0.18421052631578946
6ZDQ,1,0.025110782865583457,0.01624815361890694,0.056129985228951254,0.053175775480059084,0.060561299852289516,0.03988183161004431,0.01772525849335303,0.07090103397341212,0.09601181683899557,0.12850812407680945,0.011816838995568686,0.047267355982274745,0.0206794682422452,0.033973412112259974,0.053175775480059084,0.0930576070901034,0.04431314623338257,0.07090103397341212,0.014771048744460856,0.04579025110782865,0.2923076923076923,0.15384615384615385,0.2923076923076923,0.26153846153846155
